id,data_type,resource,date,beds,beds_cnv,beds_pot,beds_pre,beds_cap,available,convertible,val_current,val_residential,val_cosharing
XDR000001,Business Plan,AMG026.01.01.H01,2024-01-01,0.0,1.0,1.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0
XDR000002,Business Plan,AMG026.01.01.H01,2024-02-01,0.0,1.0,1.0,0.0,1.0,0.0,29.0,0.0,0.0,0.0
XDR000003,Business Plan,AMG026.01.01.H01,2024-03-01,0.0,1.0,1.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0
XDR000004,Business Plan,AMG026.01.01.H01,2024-04-01,0.0,1.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0
XDR000005,Business Plan,AMG026.01.01.H01,2024-05-01,0.0,1.0,1.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0
XDR000006,Business Plan,AMG026.01.01.H01,2024-06-01,0.0,1.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0
XDR000007,Business Plan,AMG026.01.01.H01,2024-07-01,0.0,1.0,1.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0
XDR000008,Business Plan,AMG026.01.01.H01,2024-08-01,0.0,1.0,1.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0
XDR000009,Business Plan,AMG026.01.01.H01,2024-09-01,0.0,1.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0
XDR000010,Business Plan,AMG026.01.01.H01,2024-10-01,0.0,1.0,1.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0
XDR000011,Business Plan,AMG026.01.01.H01,2024-11-01,0.0,1.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0
XDR000012,Business Plan,AMG026.01.01.H01,2024-12-01,0.0,1.0,1.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0
XDR000013,Business Plan,AMG026.01.01.H01,2025-01-01,1.0,1.0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0
XDR000014,Business Plan,AMG026.01.01.H01,2025-02-01,1.0,1.0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0
XDR000015,Business Plan,AMG026.01.01.H01,2025-03-01,1.0,1.0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0
XDR000016,Business Plan,AMG026.01.01.H01,2025-04-01,1.0,1.0,1.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
XDR000017,Business Plan,AMG026.01.01.H01,2025-05-01,1.0,1.0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0
XDR000018,Business Plan,AMG026.01.01.H01,2025-06-01,1.0,1.0,1.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
XDR000019,Business Plan,AMG026.01.01.H01,2025-07-01,1.0,1.0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0
XDR000020,Business Plan,AMG026.01.01.H01,2025-08-01,1.0,1.0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0
XDR000021,Business Plan,AMG026.01.01.H01,2025-09-01,1.0,1.0,1.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
XDR000022,Business Plan,AMG026.01.01.H01,2025-10-01,1.0,1.0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0
XDR000023,Business Plan,AMG026.01.01.H01,2025-11-01,1.0,1.0,1.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
XDR000024,Business Plan,AMG026.01.01.H01,2025-12-01,1.0,1.0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0
XDR000025,Business Plan,AMG026.01.01.H01,2026-01-01,1.0,1.0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0
XDR000026,Business Plan,AMG026.01.01.H01,2026-02-01,1.0,1.0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0
XDR000027,Business Plan,AMG026.01.01.H01,2026-03-01,1.0,1.0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0
XDR000028,Business Plan,AMG026.01.01.H01,2026-04-01,1.0,1.0,1.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
XDR000029,Business Plan,AMG026.01.01.H01,2026-05-01,1.0,1.0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0
XDR000030,Business Plan,AMG026.01.01.H01,2026-06-01,1.0,1.0,1.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
XDR000031,Business Plan,AMG026.01.01.H01,2026-07-01,1.0,1.0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0
XDR000032,Business Plan,AMG026.01.01.H01,2026-08-01,1.0,1.0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0
XDR000033,Business Plan,AMG026.01.01.H01,2026-09-01,1.0,1.0,1.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
XDR000034,Business Plan,AMG026.01.01.H01,2026-10-01,1.0,1.0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0
XDR000035,Business Plan,AMG026.01.01.H01,2026-11-01,1.0,1.0,1.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
XDR000036,Business Plan,AMG026.01.01.H01,2026-12-01,1.0,1.0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0
XDR000037,Business Plan,AMG026.01.01.H01,2027-01-01,1.0,1.0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0
XDR000038,Business Plan,AMG026.01.01.H01,2027-02-01,1.0,1.0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0
XDR000039,Business Plan,AMG026.01.01.H01,2027-03-01,1.0,1.0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0
XDR000040,Business Plan,AMG026.01.01.H01,2027-04-01,1.0,1.0,1.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
XDR000041,Business Plan,AMG026.01.01.H01,2027-05-01,1.0,1.0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0
XDR000042,Business Plan,AMG026.01.01.H01,2027-06-01,1.0,1.0,1.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
