id,doc_id,doc_type,booking,date,provider,customer,resource,product,amount,rate,price,data_type,stay_length,discount_type
XSA000001,-,-,-,2025-01-01,,,AMG026.01.01.H01,Monthly rent,1111.3822,1111.3822,,Business Plan Available,,
XSA000002,-,-,-,2025-02-01,,,AMG026.01.01.H01,Monthly rent,1111.3822,1111.3822,,Business Plan Available,,
XSA000003,-,-,-,2025-03-01,,,AMG026.01.01.H01,Monthly rent,1087.98468,1087.98468,,Business Plan Available,,
XSA000004,-,-,-,2025-04-01,,,AMG026.01.01.H01,Monthly rent,1087.98468,1087.98468,,Business Plan Available,,
XSA000005,-,-,-,2025-05-01,,,AMG026.01.01.H01,Monthly rent,1052.8884,1052.8884,,Business Plan Available,,
XSA000006,-,-,-,2025-06-01,,,AMG026.01.01.H01,Monthly rent,1052.8884,1052.8884,,Business Plan Available,,
XSA000007,-,-,-,2025-07-01,,,AMG026.01.01.H01,Monthly rent,877.407,877.407,,Business Plan Available,,
XSA000008,-,-,-,2025-08-01,,,AMG026.01.01.H01,Monthly rent,610.6752720000001,610.6752720000001,,Business Plan Available,,
XSA000009,-,-,-,2025-09-01,,,AMG026.01.01.H01,Monthly rent,1058.5029,1058.5029,,Business Plan Available,,
XSA000010,-,-,-,2025-10-01,,,AMG026.01.01.H01,Monthly rent,1143.6698,1143.6698,,Business Plan Available,,
XSA000011,-,-,-,2025-11-01,,,AMG026.01.01.H01,Monthly rent,1143.6698,1143.6698,,Business Plan Available,,
XSA000012,-,-,-,2025-12-01,,,AMG026.01.01.H01,Monthly rent,1131.5031,1131.5031,,Business Plan Available,,
XSA000013,-,-,-,2026-01-01,,,AMG026.01.01.H01,Monthly rent,1155.8365,1155.8365,,Business Plan Available,,
XSA000014,-,-,-,2026-02-01,,,AMG026.01.01.H01,Monthly rent,1155.8365,1155.8365,,Business Plan Available,,
XSA000015,-,-,-,2026-03-01,,,AMG026.01.01.H01,Monthly rent,1131.5031,1131.5031,,Business Plan Available,,
XSA000016,-,-,-,2026-04-01,,,AMG026.01.01.H01,Monthly rent,1131.5031,1131.5031,,Business Plan Available,,
XSA000017,-,-,-,2026-05-01,,,AMG026.01.01.H01,Monthly rent,1095.003,1095.003,,Business Plan Available,,
XSA000018,-,-,-,2026-06-01,,,AMG026.01.01.H01,Monthly rent,1095.003,1095.003,,Business Plan Available,,
XSA000019,-,-,-,2026-07-01,,,AMG026.01.01.H01,Monthly rent,912.5025,912.5025,,Business Plan Available,,
XSA000020,-,-,-,2026-08-01,,,AMG026.01.01.H01,Monthly rent,635.1017400000001,635.1017400000001,,Business Plan Available,,
XSA000021,-,-,-,2026-09-01,,,AMG026.01.01.H01,Monthly rent,1095.54924,1095.54924,,Business Plan Available,,
XSA000022,-,-,-,2026-10-01,,,AMG026.01.01.H01,Monthly rent,1183.69688,1183.69688,,Business Plan Available,,
XSA000023,-,-,-,2026-11-01,,,AMG026.01.01.H01,Monthly rent,1183.69688,1183.69688,,Business Plan Available,,
XSA000024,-,-,-,2026-12-01,,,AMG026.01.01.H01,Monthly rent,1171.10436,1171.10436,,Business Plan Available,,
XSA000025,-,-,-,2027-01-01,,,AMG026.01.01.H01,Monthly rent,1196.2894,1196.2894,,Business Plan Available,,
XSA000026,-,-,-,2027-02-01,,,AMG026.01.01.H01,Monthly rent,1196.2894,1196.2894,,Business Plan Available,,
XSA000027,-,-,-,2027-03-01,,,AMG026.01.01.H01,Monthly rent,1171.10436,1171.10436,,Business Plan Available,,
XSA000028,-,-,-,2027-04-01,,,AMG026.01.01.H01,Monthly rent,1171.10436,1171.10436,,Business Plan Available,,
XSA000029,-,-,-,2027-05-01,,,AMG026.01.01.H01,Monthly rent,1133.3268,1133.3268,,Business Plan Available,,
XSA000030,-,-,-,2027-06-01,,,AMG026.01.01.H01,Monthly rent,1133.3268,1133.3268,,Business Plan Available,,
XSA000031,-,-,-,2027-07-01,,,AMG026.01.01.H01,Monthly rent,944.439,944.439,,Business Plan Available,,
XSA000032,-,-,-,2027-08-01,,,AMG026.01.01.H01,Monthly rent,657.329544,657.329544,,Business Plan Available,,
XSA000033,-,-,-,2025-01-01,,,AMG026.01.01.H02,Monthly rent,995.733,995.733,,Business Plan Available,,
XSA000034,-,-,-,2025-02-01,,,AMG026.01.01.H02,Monthly rent,995.733,995.733,,Business Plan Available,,
XSA000035,-,-,-,2025-03-01,,,AMG026.01.01.H02,Monthly rent,974.7702,974.7702,,Business Plan Available,,
XSA000036,-,-,-,2025-04-01,,,AMG026.01.01.H02,Monthly rent,974.7702,974.7702,,Business Plan Available,,
XSA000037,-,-,-,2025-05-01,,,AMG026.01.01.H02,Monthly rent,943.326,943.326,,Business Plan Available,,
XSA000038,-,-,-,2025-06-01,,,AMG026.01.01.H02,Monthly rent,943.326,943.326,,Business Plan Available,,
XSA000039,-,-,-,2025-07-01,,,AMG026.01.01.H02,Monthly rent,786.105,786.105,,Business Plan Available,,
XSA000040,-,-,-,2025-08-01,,,AMG026.01.01.H02,Monthly rent,547.12908,547.12908,,Business Plan Available,,
XSA000041,-,-,-,2025-09-01,,,AMG026.01.01.H02,Monthly rent,948.3556799999999,948.3556799999999,,Business Plan Available,,
XSA000042,-,-,-,2025-10-01,,,AMG026.01.01.H02,Monthly rent,1024.66016,1024.66016,,Business Plan Available,,
XSA000043,-,-,-,2025-11-01,,,AMG026.01.01.H02,Monthly rent,1024.66016,1024.66016,,Business Plan Available,,
XSA000044,-,-,-,2025-12-01,,,AMG026.01.01.H02,Monthly rent,1013.75952,1013.75952,,Business Plan Available,,
XSA000045,-,-,-,2026-01-01,,,AMG026.01.01.H02,Monthly rent,1035.5608,1035.5608,,Business Plan Available,,
XSA000046,-,-,-,2026-02-01,,,AMG026.01.01.H02,Monthly rent,1035.5608,1035.5608,,Business Plan Available,,
XSA000047,-,-,-,2026-03-01,,,AMG026.01.01.H02,Monthly rent,1013.75952,1013.75952,,Business Plan Available,,
XSA000048,-,-,-,2026-04-01,,,AMG026.01.01.H02,Monthly rent,1013.75952,1013.75952,,Business Plan Available,,
XSA000049,-,-,-,2026-05-01,,,AMG026.01.01.H02,Monthly rent,981.0576,981.0576,,Business Plan Available,,
XSA000050,-,-,-,2026-06-01,,,AMG026.01.01.H02,Monthly rent,981.0576,981.0576,,Business Plan Available,,
XSA000051,-,-,-,2026-07-01,,,AMG026.01.01.H02,Monthly rent,817.548,817.548,,Business Plan Available,,
XSA000052,-,-,-,2026-08-01,,,AMG026.01.01.H02,Monthly rent,569.013408,569.013408,,Business Plan Available,,
XSA000053,-,-,-,2026-09-01,,,AMG026.01.01.H02,Monthly rent,981.5461799999999,981.5461799999999,,Business Plan Available,,
XSA000054,-,-,-,2026-10-01,,,AMG026.01.01.H02,Monthly rent,1060.52116,1060.52116,,Business Plan Available,,
XSA000055,-,-,-,2026-11-01,,,AMG026.01.01.H02,Monthly rent,1060.52116,1060.52116,,Business Plan Available,,
XSA000056,-,-,-,2026-12-01,,,AMG026.01.01.H02,Monthly rent,1049.23902,1049.23902,,Business Plan Available,,
XSA000057,-,-,-,2027-01-01,,,AMG026.01.01.H02,Monthly rent,1071.8033,1071.8033,,Business Plan Available,,
