cacc_doc_it_uuid,cacc_doc_uuid,cbus_part_uuid,ccost_ctr_uuid,ccreation_date,cdoc_date,cfiscyear,cfix_asset_uuid,cglacct,cnote_hd,cnote_it,coedpartner,coedref_f_id,coff_glacct,cposting_date,cprofitctr_uuid,kcbalance_currcomp,kccredit_currcomp,kcdebit_currcomp,tbus_part_uuid,tcost_ctr_uuid,tfix_asset_uuid,tglacct,toff_glacct,tproduct_type,tproduct_uuid,tprofitctr_uuid
3,200000001162,,,2024-07-15T00:00:00,2024-06-11,2024,82-0,217000,BESERVICES PORTATIL HP 250 G10,PORTATIL HP 250 G10,2400312.,CTFP-1301-2024,523000,2024-07-15,CTS01,886.33,0.0,886.33,Not Assigned,Not Assigned,PORTATIL HP 250 G10,EDP Equipment,Short-Term Fixed Assets Suppliers,Individual Product,100001623,COTOWN SHARING LIFE SL RF
3,220000000032,,,2024-07-15T00:00:00,2024-06-11,2024,82-0,217000,BESERVICES ABONO PORTATIL HP 250 G10,PORTATIL HP 250 G10,NC2400312,CTAP-33-2024,400000,2024-07-15,CTS01,-886.33,886.33,0.0,Not Assigned,Not Assigned,PORTATIL HP 250 G10,EDP Equipment,Trade Account Payables (EUR),Individual Product,100001623,COTOWN SHARING LIFE SL RF
2,110000000698,P000000767,,2024-07-08T00:00:00,2024-07-01,2024,,400000,PAGO 28-G4M0-049175 TELEFONICA,PAGO 28-G4M0-049175 TELEFONICA,,3429,410000,2024-07-08,CTS01,-29.04,29.04,0.0,"TELEFONICA MOVILES ESPAÑA, S.A.",Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,110000000699,P000000767,,2024-07-08T00:00:00,2024-07-01,2024,,400000,PAGO 28-G4U1-072391 TELEFONICA,PAGO 28-G4U1-072391 TELEFONICA,,3430,410000,2024-07-08,CTS01,-6.53,6.53,0.0,"TELEFONICA MOVILES ESPAÑA, S.A.",Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,110000000700,P000000012,,2024-07-08T00:00:00,2024-07-01,2024,,400000,PAGO TA7DM0092488 TELEFONIA FIJA,PAGO TA7DM0092488 TELEFONIA FIJA,,3431,410000,2024-07-08,CTS01,-326.68,326.68,0.0,"TELEFONICA DE ESPAÑA, S.A.",Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,110000000701,P000000806,,2024-07-08T00:00:00,2024-07-01,2024,,400000,PAGO 24/0060/001745 LACKANTON,PAGO 24/0060/001745 LACKANTON,,3433,410000,2024-07-08,CTS01,-48.59,48.59,0.0,"LACKANTON EDIFICACIONES, S.L.",Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,110000000703,P000000516,,2024-07-08T00:00:00,2024-07-03,2024,,400000,PAGO 2MJH4XVMMX1BBIDZII SUPERMETRICS.COM,PAGO 2MJH4XVMMX1BBIDZII SUPERMETRICS.COM,,3457,410000,2024-07-08,CTS01,-124,124.0,0.0,SUPERMETRICS OY,Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,110000000704,P000000437,,2024-07-08T00:00:00,2024-07-03,2024,,400000,PAGO FBADS-134-103507882 META PLATFORMS,PAGO FBADS-134-103507882 META PLATFORMS,,3468,410000,2024-07-08,CTS01,-28.44,28.44,0.0,META PLATFORMS IRELAND LIMITED,Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,110000000718,P000000495,,2024-07-09T00:00:00,2024-07-08,2024,,400000,PAGO K6DSHCBG95W3CLF6 SEMRUSH,PAGO K6DSHCBG95W3CLF6 SEMRUSH,,3515,410000,2024-07-09,CTS01,-219.77,219.77,0.0,SEMRUSH INC.,Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
2,110000000719,P000000417,,2024-07-09T00:00:00,2024-07-08,2024,,400000,PAGO LT-12132215 LINKTREE* LINKTREE,PAGO LT-12132215 LINKTREE* LINKTREE,,3516,410000,2024-07-09,CTS01,-22,22.0,0.0,LINKTREE,Not Assigned,Not Assigned,Trade Account Payables (EUR),Accounts Payables on Services Received (EUR),Not Assigned,Not Assigned,COTOWN SHARING LIFE SL RF
