"id","doc_id","doc_type","booking","date","provider","customer","resource","product","amount","rate","income_type","data_type","stay_length","discount_type"
"FRL1","-","-","(forecast)","2024-01-01","","","AMG026","Monthly rent","0","0","B2X","Forecast","LONG",""
"FRM1","-","-","(forecast)","2024-01-01","","","AMG026","Monthly rent","0","0","B2X","Forecast","MEDIUM",""
"FRS1","-","-","(forecast)","2024-01-01","","","AMG026","Monthly rent","0","0","B2X","Forecast","SHORT",""
"FRG1","-","-","(forecast)","2024-01-01","","","AMG026","Monthly rent","0","0","B2X","Forecast","GROUP",""
"FSV1","-","-","(forecast)","2024-01-01","","","AMG026","Monthly services","0","0","B2X","Forecast","",""
"FBF1","-","-","(forecast)","2024-01-01","","","AMG026","Membership fee","18914","18914","B2X","Forecast","",""
"FMF1","-","-","(forecast)","2024-01-01","","","AMG026","Management fee","0.0","0.0","B2X","Forecast","",""
"SIX1","-","-","(stabilised)","2024-01-01","","","AMG026","Monthly rent","0","0","B2X","Stabilised","",""
"UIX1","-","-","(uw)","2024-01-01","","","AMG026","Monthly rent","0","0","B2X","UW","",""
"FRL2","-","-","(forecast)","2024-02-01","","","AMG026","Monthly rent","0","0","B2X","Forecast","LONG",""
"FRM2","-","-","(forecast)","2024-02-01","","","AMG026","Monthly rent","0","0","B2X","Forecast","MEDIUM",""
"FRS2","-","-","(forecast)","2024-02-01","","","AMG026","Monthly rent","0","0","B2X","Forecast","SHORT",""
"FRG2","-","-","(forecast)","2024-02-01","","","AMG026","Monthly rent","0","0","B2X","Forecast","GROUP",""
"FSV2","-","-","(forecast)","2024-02-01","","","AMG026","Monthly services","0","0","B2X","Forecast","",""
"FBF2","-","-","(forecast)","2024-02-01","","","AMG026","Membership fee","25219","25219","B2X","Forecast","",""
"FMF2","-","-","(forecast)","2024-02-01","","","AMG026","Management fee","0.0","0.0","B2X","Forecast","",""
"SIX2","-","-","(stabilised)","2024-02-01","","","AMG026","Monthly rent","0","0","B2X","Stabilised","",""
"UIX2","-","-","(uw)","2024-02-01","","","AMG026","Monthly rent","0","0","B2X","UW","",""
"FRL3","-","-","(forecast)","2024-03-01","","","AMG026","Monthly rent","0","0","B2X","Forecast","LONG",""
"FRM3","-","-","(forecast)","2024-03-01","","","AMG026","Monthly rent","0","0","B2X","Forecast","MEDIUM",""
"FRS3","-","-","(forecast)","2024-03-01","","","AMG026","Monthly rent","0","0","B2X","Forecast","SHORT",""
"FRG3","-","-","(forecast)","2024-03-01","","","AMG026","Monthly rent","0","0","B2X","Forecast","GROUP",""
"FSV3","-","-","(forecast)","2024-03-01","","","AMG026","Monthly services","0","0","B2X","Forecast","",""
"FBF3","-","-","(forecast)","2024-03-01","","","AMG026","Membership fee","25219","25219","B2X","Forecast","",""
"FMF3","-","-","(forecast)","2024-03-01","","","AMG026","Management fee","0.0","0.0","B2X","Forecast","",""
"SIX3","-","-","(stabilised)","2024-03-01","","","AMG026","Monthly rent","0","0","B2X","Stabilised","",""
"UIX3","-","-","(uw)","2024-03-01","","","AMG026","Monthly rent","0","0","B2X","UW","",""
"FRL4","-","-","(forecast)","2024-04-01","","","AMG026","Monthly rent","0","0","B2X","Forecast","LONG",""
"FRM4","-","-","(forecast)","2024-04-01","","","AMG026","Monthly rent","0","0","B2X","Forecast","MEDIUM",""
"FRS4","-","-","(forecast)","2024-04-01","","","AMG026","Monthly rent","0","0","B2X","Forecast","SHORT",""
"FRG4","-","-","(forecast)","2024-04-01","","","AMG026","Monthly rent","0","0","B2X","Forecast","GROUP",""
"FSV4","-","-","(forecast)","2024-04-01","","","AMG026","Monthly services","0","0","B2X","Forecast","",""
"FBF4","-","-","(forecast)","2024-04-01","","","AMG026","Membership fee","28372","28372","B2X","Forecast","",""
"FMF4","-","-","(forecast)","2024-04-01","","","AMG026","Management fee","0.0","0.0","B2X","Forecast","",""
"SIX4","-","-","(stabilised)","2024-04-01","","","AMG026","Monthly rent","0","0","B2X","Stabilised","",""
"UIX4","-","-","(uw)","2024-04-01","","","AMG026","Monthly rent","0","0","B2X","UW","",""
