id,resource,date,beds,available,occupied,sold
1,AMG026.01.01.H01,2024-01-01,0,0,0,0
2,AMG026.01.01.H01,2024-02-01,0,0,0,0
3,AMG026.01.01.H01,2024-03-01,0,0,0,0
4,AMG026.01.01.H01,2024-04-01,0,0,0,0
5,AMG026.01.01.H01,2024-05-01,0,0,0,0
6,AMG026.01.01.H01,2024-06-01,0,0,0,0
7,AMG026.01.01.H01,2024-07-01,0,0,0,0
8,AMG026.01.01.H01,2024-08-01,0,0,0,0
9,AMG026.01.01.H01,2024-09-01,0,0,0,0
10,AMG026.01.01.H01,2024-10-01,1,31,0,0
11,AMG026.01.01.H01,2024-11-01,1,30,0,0
12,AMG026.01.01.H01,2024-12-01,1,31,0,0
13,AMG026.01.01.H01,2025-01-01,1,31,0,0
14,AMG026.01.01.H01,2025-02-01,1,28,0,0
15,AMG026.01.01.H01,2025-03-01,1,31,0,0
16,AMG026.01.01.H01,2025-04-01,1,30,0,0
17,AMG026.01.01.H01,2025-05-01,1,31,0,0
18,AMG026.01.01.H01,2025-06-01,1,30,0,0
19,AMG026.01.01.H01,2025-07-01,1,31,0,0
20,AMG026.01.01.H01,2025-08-01,1,31,0,0
21,AMG026.01.01.H01,2025-09-01,1,30,0,0
22,AMG026.01.01.H01,2025-10-01,1,31,0,0
23,AMG026.01.01.H01,2025-11-01,1,30,0,0
24,AMG026.01.01.H01,2025-12-01,1,31,0,0
25,AMG026.01.01.H01,2026-01-01,1,31,0,0
26,AMG026.01.01.H01,2026-02-01,1,28,0,0
27,AMG026.01.01.H01,2026-03-01,1,31,0,0
28,AMG026.01.01.H01,2026-04-01,1,30,0,0
29,AMG026.01.01.H01,2026-05-01,1,31,0,0
30,AMG026.01.01.H01,2026-06-01,1,30,0,0
31,AMG026.01.01.H01,2026-07-01,1,31,0,0
32,AMG026.01.01.H01,2026-08-01,1,31,0,0
33,AMG026.01.01.H01,2026-09-01,1,30,0,0
34,AMG026.01.01.H01,2026-10-01,1,31,0,0
35,AMG026.01.01.H01,2026-11-01,1,30,0,0
36,AMG026.01.01.H01,2026-12-01,1,31,0,0
37,AMG026.01.01.H02,2024-01-01,0,0,0,0
38,AMG026.01.01.H02,2024-02-01,0,0,0,0
39,AMG026.01.01.H02,2024-03-01,0,0,0,0
40,AMG026.01.01.H02,2024-04-01,0,0,0,0
41,AMG026.01.01.H02,2024-05-01,0,0,0,0
42,AMG026.01.01.H02,2024-06-01,0,0,0,0
43,AMG026.01.01.H02,2024-07-01,0,0,0,0
44,AMG026.01.01.H02,2024-08-01,0,0,0,0
45,AMG026.01.01.H02,2024-09-01,0,0,0,0
46,AMG026.01.01.H02,2024-10-01,1,31,0,0
47,AMG026.01.01.H02,2024-11-01,1,30,0,0
