"id","data_type","resource","date","beds","available","occupied","sold","occupied_t","sold_t"
"FOC1","Forecast","AMG026","2024-01-01","0","0","0","0","0","0"
"SOC1","Stabilised","AMG026","2024-01-01","0","0","0","0","0","0"
"UOC1","UW","AMG026","2024-01-01","0","0","0.0","0.0","0","0"
"FOC2","Forecast","AMG026","2024-02-01","0","0","0","0","0","0"
"SOC2","Stabilised","AMG026","2024-02-01","0","0","0","0","0","0"
"UOC2","UW","AMG026","2024-02-01","0","0","0.0","0.0","0","0"
"FOC3","Forecast","AMG026","2024-03-01","0","0","0","0","0","0"
"SOC3","Stabilised","AMG026","2024-03-01","0","0","0","0","0","0"
"UOC3","UW","AMG026","2024-03-01","0","0","0.0","0.0","0","0"
"FOC4","Forecast","AMG026","2024-04-01","0","0","0","0","0","0"
"SOC4","Stabilised","AMG026","2024-04-01","0","0","0","0","0","0"
"UOC4","UW","AMG026","2024-04-01","0","0","0.0","0.0","0","0"
"FOC5","Forecast","AMG026","2024-05-01","0","0","0","0","0","0"
"SOC5","Stabilised","AMG026","2024-05-01","0","0","0","0","0","0"
"UOC5","UW","AMG026","2024-05-01","0","0","0.0","0.0","0","0"
"FOC6","Forecast","AMG026","2024-06-01","0","0","0","0","0","0"
"SOC6","Stabilised","AMG026","2024-06-01","0","0","0","0","0","0"
"UOC6","UW","AMG026","2024-06-01","0","0","0.0","0.0","0","0"
"FOC7","Forecast","AMG026","2024-07-01","0","0","0","0","0","0"
"SOC7","Stabilised","AMG026","2024-07-01","0","0","0","0","0","0"
"UOC7","UW","AMG026","2024-07-01","0","0","0.0","0.0","0","0"
"FOC8","Forecast","AMG026","2024-08-01","0","0","0","0","0","0"
"SOC8","Stabilised","AMG026","2024-08-01","0","0","0","0","0","0"
"UOC8","UW","AMG026","2024-08-01","7","217","74.40000000000002","74.40000000000002","0","0"
"FOC9","Forecast","AMG026","2024-09-01","0","0","0","0","0","0"
"SOC9","Stabilised","AMG026","2024-09-01","0","0","0","0","0","0"
"UOC9","UW","AMG026","2024-09-01","20","600","390.8571428571429","390.8571428571429","0","0"
"FOC10","Forecast","AMG026","2024-10-01","23","713","0","0","0","0"
"SOC10","Stabilised","AMG026","2024-10-01","23","713","0","0","0","0"
"UOC10","UW","AMG026","2024-10-01","27","837","681.5571428571429","681.5571428571429","0","0"
"FOC11","Forecast","AMG026","2024-11-01","23","690","0","0","0","0"
"SOC11","Stabilised","AMG026","2024-11-01","23","690","0","0","0","0"
"UOC11","UW","AMG026","2024-11-01","27","810","659.5714285714287","659.5714285714287","0","0"
"FOC12","Forecast","AMG026","2024-12-01","23","713","0","0","0","0"
"SOC12","Stabilised","AMG026","2024-12-01","23","713","0","0","0","0"
"UOC12","UW","AMG026","2024-12-01","27","837","681.5571428571429","681.5571428571429","0","0"
