id,data_type,resource,date,beds,available,occupied,sold,occupied_t,sold_t
1,real,AMG026.01.01.H01,2024-01-01,0.0,0,0,0,0,0
2,real,AMG026.01.01.H01,2024-02-01,0.0,0,0,0,0,0
3,real,AMG026.01.01.H01,2024-03-01,0.0,0,0,0,0,0
4,real,AMG026.01.01.H01,2024-04-01,0.0,0,0,0,0,0
5,real,AMG026.01.01.H01,2024-05-01,0.0,0,0,0,0,0
6,real,AMG026.01.01.H01,2024-06-01,0.0,0,0,0,0,0
7,real,AMG026.01.01.H01,2024-07-01,0.0,0,0,0,0,0
8,real,AMG026.01.01.H01,2024-08-01,0.0,0,0,0,0,0
9,real,AMG026.01.01.H01,2024-09-01,0.0,0,0,0,0,0
10,real,AMG026.01.01.H01,2024-10-01,0.0,0,0,0,0,0
11,real,AMG026.01.01.H01,2024-11-01,0.0,0,0,0,0,0
12,real,AMG026.01.01.H01,2024-12-01,0.0,0,0,0,0,0
13,real,AMG026.01.01.H01,2025-01-01,1.0,31,0,0,0,0
14,real,AMG026.01.01.H01,2025-02-01,1.0,28,0,0,0,0
15,real,AMG026.01.01.H01,2025-03-01,1.0,31,0,0,0,0
16,real,AMG026.01.01.H01,2025-04-01,1.0,30,0,0,0,0
17,real,AMG026.01.01.H01,2025-05-01,1.0,31,0,0,0,0
18,real,AMG026.01.01.H01,2025-06-01,1.0,30,0,0,0,0
19,real,AMG026.01.01.H01,2025-07-01,1.0,31,0,0,0,0
20,real,AMG026.01.01.H01,2025-08-01,1.0,31,0,0,0,0
21,real,AMG026.01.01.H01,2025-09-01,1.0,30,0,0,0,0
22,real,AMG026.01.01.H01,2025-10-01,1.0,31,0,0,0,0
23,real,AMG026.01.01.H01,2025-11-01,1.0,30,0,0,0,0
24,real,AMG026.01.01.H01,2025-12-01,1.0,31,0,0,0,0
25,real,AMG026.01.01.H01,2026-01-01,1.0,31,0,0,0,0
26,real,AMG026.01.01.H01,2026-02-01,1.0,28,0,0,0,0
27,real,AMG026.01.01.H01,2026-03-01,1.0,31,0,0,0,0
28,real,AMG026.01.01.H01,2026-04-01,1.0,30,0,0,0,0
29,real,AMG026.01.01.H01,2026-05-01,1.0,31,0,0,0,0
30,real,AMG026.01.01.H01,2026-06-01,1.0,30,0,0,0,0
31,real,AMG026.01.01.H01,2026-07-01,1.0,31,0,0,0,0
32,real,AMG026.01.01.H01,2026-08-01,1.0,31,0,0,0,0
33,real,AMG026.01.01.H01,2026-09-01,1.0,30,0,0,0,0
34,real,AMG026.01.01.H01,2026-10-01,1.0,31,0,0,0,0
35,real,AMG026.01.01.H01,2026-11-01,1.0,30,0,0,0,0
36,real,AMG026.01.01.H01,2026-12-01,1.0,31,0,0,0,0
37,real,AMG026.01.01.H02,2024-01-01,0.0,0,0,0,0,0
38,real,AMG026.01.01.H02,2024-02-01,0.0,0,0,0,0,0
39,real,AMG026.01.01.H02,2024-03-01,0.0,0,0,0,0,0
40,real,AMG026.01.01.H02,2024-04-01,0.0,0,0,0,0,0
41,real,AMG026.01.01.H02,2024-05-01,0.0,0,0,0,0,0
42,real,AMG026.01.01.H02,2024-06-01,0.0,0,0,0,0,0
43,real,AMG026.01.01.H02,2024-07-01,0.0,0,0,0,0,0
44,real,AMG026.01.01.H02,2024-08-01,0.0,0,0,0,0,0
45,real,AMG026.01.01.H02,2024-09-01,0.0,0,0,0,0,0
46,real,AMG026.01.01.H02,2024-10-01,0.0,0,0,0,0,0
47,real,AMG026.01.01.H02,2024-11-01,0.0,0,0,0,0,0
48,real,AMG026.01.01.H02,2024-12-01,0.0,0,0,0,0,0
49,real,AMG026.01.01.H02,2025-01-01,1.0,31,0,0,0,0
50,real,AMG026.01.01.H02,2025-02-01,1.0,28,0,0,0,0
51,real,AMG026.01.01.H02,2025-03-01,1.0,31,0,0,0,0
52,real,AMG026.01.01.H02,2025-04-01,1.0,30,0,0,0,0
53,real,AMG026.01.01.H02,2025-05-01,1.0,31,0,0,0,0
54,real,AMG026.01.01.H02,2025-06-01,1.0,30,0,0,0,0
55,real,AMG026.01.01.H02,2025-07-01,1.0,31,0,0,0,0
56,real,AMG026.01.01.H02,2025-08-01,1.0,31,0,0,0,0
57,real,AMG026.01.01.H02,2025-09-01,1.0,30,0,0,0,0
58,real,AMG026.01.01.H02,2025-10-01,1.0,31,0,0,0,0
59,real,AMG026.01.01.H02,2025-11-01,1.0,30,0,0,0,0
60,real,AMG026.01.01.H02,2025-12-01,1.0,31,0,0,0,0
61,real,AMG026.01.01.H02,2026-01-01,1.0,31,0,0,0,0
62,real,AMG026.01.01.H02,2026-02-01,1.0,28,0,0,0,0
63,real,AMG026.01.01.H02,2026-03-01,1.0,31,0,0,0,0
64,real,AMG026.01.01.H02,2026-04-01,1.0,30,0,0,0,0
65,real,AMG026.01.01.H02,2026-05-01,1.0,31,0,0,0,0
66,real,AMG026.01.01.H02,2026-06-01,1.0,30,0,0,0,0
67,real,AMG026.01.01.H02,2026-07-01,1.0,31,0,0,0,0
68,real,AMG026.01.01.H02,2026-08-01,1.0,31,0,0,0,0
69,real,AMG026.01.01.H02,2026-09-01,1.0,30,0,0,0,0
70,real,AMG026.01.01.H02,2026-10-01,1.0,31,0,0,0,0
71,real,AMG026.01.01.H02,2026-11-01,1.0,30,0,0,0,0
72,real,AMG026.01.01.H02,2026-12-01,1.0,31,0,0,0,0
73,real,AMG026.01.01.H03,2024-01-01,0.0,0,0,0,0,0
74,real,AMG026.01.01.H03,2024-02-01,0.0,0,0,0,0,0
75,real,AMG026.01.01.H03,2024-03-01,0.0,0,0,0,0,0
76,real,AMG026.01.01.H03,2024-04-01,0.0,0,0,0,0,0
77,real,AMG026.01.01.H03,2024-05-01,0.0,0,0,0,0,0
78,real,AMG026.01.01.H03,2024-06-01,0.0,0,0,0,0,0
79,real,AMG026.01.01.H03,2024-07-01,0.0,0,0,0,0,0
