"Booking_id";"Rent_date";"Rent";"Services"
"1";"2020-10-01";"400";"129"
"1";"2020-11-01";"400";"129"
"1";"2020-12-01";"400";"129"
"2";"2020-11-01";"340";"0"
"2";"2020-12-01";"340";"0"
"2";"2021-01-01";"340";"0"
"3";"2021-02-01";"356";"110"
"3";"2021-03-01";"356";"110"
"3";"2021-04-01";"356";"110"
"3";"2021-05-01";"356";"110"
"3";"2021-06-01";"356";"110"
"3";"2021-07-01";"356";"110"
"5";"2021-02-01";"356";"110"
"5";"2021-03-01";"356";"110"
"5";"2021-04-01";"356";"110"
"5";"2021-05-01";"356";"110"
"6";"2021-02-01";"345";"60"
"6";"2021-03-01";"345";"60"
"6";"2021-04-01";"345";"60"
"7";"2021-02-01";"700";"60"
"7";"2021-03-01";"700";"60"
"7";"2021-04-01";"700";"60"
"7";"2021-05-01";"700";"60"
"7";"2021-06-01";"700";"60"
"8";"2021-02-01";"565";"60"
"8";"2021-03-01";"565";"60"
"8";"2021-04-01";"565";"60"
"8";"2021-05-01";"565";"60"
"8";"2021-06-01";"565";"60"
"9";"2021-02-01";"650";"110"
"9";"2021-03-01";"650";"110"
"9";"2021-04-01";"650";"110"
"9";"2021-05-01";"650";"110"
"9";"2021-06-01";"650";"110"
"9";"2021-07-01";"650";"110"
"10";"2021-02-01";"700";"60"
"10";"2021-03-01";"700";"60"
"10";"2021-04-01";"700";"60"
"10";"2021-05-01";"700";"60"
"10";"2021-06-01";"700";"60"
"10";"2021-07-01";"700";"60"
"11";"2021-02-01";"665";"110"
"11";"2021-03-01";"665";"110"
"11";"2021-04-01";"665";"110"
"11";"2021-05-01";"665";"110"
"11";"2021-06-01";"665";"110"
"12";"2021-02-01";"655";"60"
"12";"2021-03-01";"655";"60"
"12";"2021-04-01";"655";"60"
"13";"2021-02-01";"700";"110"
"13";"2021-03-01";"700";"110"
"13";"2021-04-01";"700";"110"
"13";"2021-05-01";"700";"110"
"13";"2021-06-01";"700";"110"
"14";"2021-02-01";"700";"110"
"14";"2021-03-01";"700";"110"
"14";"2021-04-01";"700";"110"
"14";"2021-05-01";"700";"110"
"14";"2021-06-01";"700";"110"
"15";"2021-02-01";"750";"60"
"15";"2021-03-01";"750";"60"
"15";"2021-04-01";"750";"60"
"15";"2021-05-01";"750";"60"
"15";"2021-06-01";"750";"60"
"16";"2021-02-01";"750";"60"
"16";"2021-03-01";"605";"60"
"16";"2021-04-01";"605";"60"
"16";"2021-05-01";"605";"60"
"16";"2021-06-01";"605";"60"
"17";"2021-02-01";"380";"110"
"17";"2021-03-01";"380";"110"
"17";"2021-04-01";"380";"110"
"17";"2021-05-01";"380";"110"
"17";"2021-06-01";"380";"110"
"18";"2021-02-01";"380";"110"
"18";"2021-03-01";"380";"110"
"18";"2021-04-01";"380";"110"
"18";"2021-05-01";"380";"110"
"18";"2021-06-01";"380";"110"
"19";"2021-02-01";"476";"110"
"19";"2021-03-01";"476";"110"
"20";"2021-02-01";"545";"60"
"20";"2021-03-01";"545";"60"
"20";"2021-04-01";"545";"60"
"20";"2021-05-01";"545";"60"
"20";"2021-06-01";"545";"60"
"21";"2021-02-01";"390";"110"
"21";"2021-03-01";"390";"110"
"21";"2021-04-01";"390";"110"
"21";"2021-05-01";"390";"110"
"21";"2021-06-01";"390";"110"
"22";"2021-02-01";"595";"60"
"22";"2021-03-01";"595";"60"
"22";"2021-04-01";"595";"60"
"22";"2021-05-01";"595";"60"
"22";"2021-06-01";"595";"60"
"22";"2021-07-01";"595";"60"
"22";"2021-08-01";"595";"60"
"22";"2021-09-01";"595";"60"
"23";"2021-02-01";"600";"115"
"23";"2021-03-01";"600";"115"
"23";"2021-04-01";"600";"115"
"23";"2021-05-01";"600";"115"
"23";"2021-06-01";"600";"115"
"24";"2021-02-01";"600";"115"
"24";"2021-03-01";"600";"115"
"24";"2021-04-01";"600";"115"
"24";"2021-05-01";"600";"115"
"24";"2021-06-01";"600";"115"
"24";"2021-07-01";"600";"115"
"25";"2021-02-01";"452";"60"
"25";"2021-03-01";"452";"60"
"25";"2021-04-01";"452";"60"
"25";"2021-05-01";"452";"60"
"25";"2021-06-01";"452";"60"
"26";"2021-02-01";"600";"115"
"26";"2021-03-01";"600";"115"
"26";"2021-04-01";"600";"115"
"26";"2021-05-01";"600";"115"
"26";"2021-06-01";"600";"115"
"27";"2021-02-01";"600";"115"
"27";"2021-03-01";"600";"115"
"27";"2021-04-01";"600";"115"
"27";"2021-05-01";"600";"115"
"27";"2021-06-01";"600";"115"
"28";"2021-02-01";"588";"115"
"28";"2021-03-01";"588";"115"
"28";"2021-04-01";"588";"115"
"28";"2021-05-01";"588";"115"
"28";"2021-06-01";"588";"115"
"29";"2021-02-01";"484";"115"
"29";"2021-03-01";"484";"115"
"29";"2021-04-01";"484";"115"
"29";"2021-05-01";"484";"115"
"29";"2021-06-01";"484";"115"
"30";"2021-02-01";"396";"60"
"30";"2021-03-01";"396";"60"
"30";"2021-04-01";"396";"60"
"30";"2021-05-01";"396";"60"
"30";"2021-06-01";"396";"60"
"31";"2021-02-01";"556";"110"
"31";"2021-03-01";"556";"110"
"31";"2021-04-01";"556";"110"
"31";"2021-05-01";"556";"110"
"32";"2021-02-01";"516";"110"
"32";"2021-03-01";"516";"110"
"32";"2021-04-01";"516";"110"
"32";"2021-05-01";"516";"110"
"32";"2021-06-01";"516";"110"
"32";"2021-07-01";"516";"110"
"33";"2021-02-01";"482";"110"
"33";"2021-03-01";"482";"110"
"33";"2021-04-01";"482";"110"
"33";"2021-05-01";"482";"110"
"33";"2021-06-01";"482";"110"
"33";"2021-07-01";"482";"110"
"34";"2021-02-01";"396";"60"
"34";"2021-03-01";"396";"60"
"34";"2021-04-01";"396";"60"
"34";"2021-05-01";"396";"60"
"35";"2021-02-01";"400";"60"
"35";"2021-03-01";"400";"60"
"35";"2021-04-01";"400";"60"
"35";"2021-05-01";"400";"60"
"35";"2021-06-01";"400";"60"
"36";"2021-02-01";"320";"60"
"36";"2021-03-01";"320";"60"
"36";"2021-04-01";"320";"60"
"36";"2021-05-01";"320";"60"
"36";"2021-06-01";"320";"60"
"37";"2021-02-01";"560";"110"
"37";"2021-03-01";"560";"110"
"37";"2021-04-01";"560";"110"
"37";"2021-05-01";"560";"110"
"37";"2021-06-01";"560";"110"
"38";"2021-02-01";"610";"60"
"38";"2021-03-01";"610";"60"
"38";"2021-04-01";"610";"60"
"38";"2021-05-01";"610";"60"
"38";"2021-06-01";"610";"60"
"39";"2021-02-01";"560";"110"
"39";"2021-03-01";"560";"110"
"39";"2021-04-01";"560";"110"
"39";"2021-05-01";"560";"110"
"39";"2021-06-01";"560";"110"
"40";"2021-02-01";"485";"110"
"40";"2021-03-01";"485";"110"
"40";"2021-04-01";"485";"110"
"40";"2021-05-01";"485";"110"
"40";"2021-06-01";"485";"110"
"41";"2021-02-01";"100";"60"
"41";"2021-03-01";"100";"60"
"41";"2021-04-01";"100";"60"
"41";"2021-05-01";"100";"60"
"41";"2021-06-01";"100";"60"
"42";"2021-02-01";"448";"110"
"42";"2021-03-01";"448";"110"
"42";"2021-04-01";"448";"110"
"42";"2021-05-01";"448";"110"
"42";"2021-06-01";"448";"110"
"42";"2021-07-01";"448";"110"
"43";"2021-02-01";"405";"60"
"43";"2021-03-01";"405";"60"
"44";"2021-02-01";"520";"60"
"44";"2021-03-01";"520";"60"
"45";"2021-02-01";"416";"60"
"45";"2021-03-01";"416";"60"
"46";"2021-02-01";"512";"60"
"46";"2021-03-01";"512";"60"
"46";"2021-04-01";"512";"60"
"46";"2021-05-01";"512";"60"
"46";"2021-06-01";"512";"60"
"47";"2021-02-01";"340";"60"
"47";"2021-03-01";"340";"60"
"47";"2021-04-01";"340";"60"
"47";"2021-05-01";"340";"60"
"47";"2021-06-01";"340";"60"
"47";"2021-07-01";"340";"60"
"47";"2021-08-01";"212.5";"60"
"48";"2021-02-01";"340";"60"
"48";"2021-03-01";"340";"60"
"48";"2021-04-01";"340";"60"
"48";"2021-05-01";"340";"60"
"48";"2021-06-01";"340";"60"
"48";"2021-07-01";"340";"60"
"49";"2021-02-01";"360";"60"
"49";"2021-03-01";"360";"60"
"49";"2021-04-01";"360";"60"
"49";"2021-05-01";"360";"60"
"49";"2021-06-01";"360";"60"
"50";"2021-02-01";"340";"60"
"50";"2021-03-01";"340";"60"
"50";"2021-04-01";"340";"60"
"50";"2021-05-01";"340";"60"
"50";"2021-06-01";"340";"60"
"51";"2021-02-01";"450";"60"
"51";"2021-03-01";"450";"60"
"51";"2021-04-01";"450";"60"
"51";"2021-05-01";"450";"60"
"51";"2021-06-01";"450";"60"
"52";"2021-02-01";"340";"60"
"52";"2021-03-01";"340";"60"
"52";"2021-04-01";"340";"60"
"52";"2021-05-01";"340";"60"
